date,names,industries_present,thin_industries,thin_names,eliminated_industry,r2_weighted,r2_equal,cond_full,cond_style,industry_term,country,cap_weighted_return,style_term,cap_weighted_specific,identity_gap,market_excess,reclassified,with_cap,excluded_no_sic,excluded_no_exposure,excluded_no_return
2007-04-26,305,44,13,18,Banks,0.248928,0.232118,48.7127,3.54177,-1.0842e-19,-0.00109638,-0.00108218,-9.42157e-06,2.36142e-05,1.41927e-05,-0.00107352,11,307,0,2,0
2007-04-27,305,44,13,18,Banks,0.364563,0.278319,48.1629,3.53941,-1.21973e-19,0.00019066,0.000269327,4.30337e-06,7.43636e-05,7.8667e-05,0.000241102,11,307,0,2,0
2007-04-30,305,44,13,18,Banks,0.467083,0.380777,48.2497,3.55864,-1.89735e-19,-0.00686956,-0.00645311,1.679e-05,0.00039966,0.00041645,-0.0064805,11,307,0,2,0
2007-05-01,305,44,13,18,Banks,0.261598,0.236709,48.2515,3.52435,-5.42101e-20,0.00326554,0.00357744,1.20783e-06,0.000310688,0.000311896,0.00357135,11,307,0,2,0
2007-05-02,305,44,13,18,Banks,0.437747,0.450901,48.2133,3.51008,5.42101e-20,0.00562291,0.00556727,-5.17897e-06,-5.04659e-05,-5.56449e-05,0.00558274,11,307,0,2,0
2007-05-03,305,44,13,18,Banks,0.215836,0.181743,48.2798,3.47301,0,0.00455653,0.00428875,-6.23418e-06,-0.000261543,-0.000267777,0.00429162,11,307,0,2,0
2007-05-04,305,44,13,18,Banks,0.196859,0.166529,48.3277,3.50066,5.42101e-20,0.00165405,0.00165445,7.2897e-08,3.2817e-07,4.01067e-07,0.00166468,11,307,0,2,0
2007-05-07,305,44,13,18,Banks,0.262764,0.235598,48.2697,3.51316,-1.0842e-19,0.00217166,0.0019944,8.72154e-06,-0.000185985,-0.000177264,0.0019934,11,307,0,2,0
2007-05-08,305,44,13,18,Banks,0.266173,0.190011,48.3107,3.54026,1.0842e-19,-0.00177891,-0.00166421,8.4135e-07,0.000113862,0.000114703,-0.00167525,11,307,0,2,0
2007-05-09,305,44,13,18,Banks,0.247626,0.213591,48.2753,3.53125,1.0842e-19,0.00319734,0.00350439,5.84674e-06,0.000301203,0.000307049,0.00350142,11,307,0,2,0
2007-05-10,305,44,13,18,Banks,0.289798,0.238241,48.0471,3.54929,1.0842e-19,-0.0137387,-0.0139151,9.03261e-06,-0.000185458,-0.000176425,-0.0139214,11,307,0,2,0
2007-05-11,305,44,13,18,Banks,0.40445,0.373095,48.1094,3.57057,2.1684e-19,0.00858371,0.00828852,-2.10501e-06,-0.000293088,-0.000295193,0.00830487,11,307,0,2,0
2007-05-14,305,44,13,18,Banks,0.252862,0.229955,47.893,3.57703,0,-0.00227034,-0.00203532,8.49973e-06,0.000226522,0.000235022,-0.0020459,11,307,0,2,0
2007-05-15,305,44,13,18,Banks,0.33717,0.316172,47.9149,3.50271,-8.13152e-20,-0.000957337,-0.00130175,5.07291e-06,-0.000349483,-0.00034441,-0.00128263,11,307,0,2,0
2007-05-16,305,44,13,18,Banks,0.266405,0.237319,47.6102,3.50271,1.0842e-19,0.0100074,0.0108148,-4.40443e-06,0.000811768,0.000807364,0.0108142,11,307,0,2,0
2007-05-17,305,44,13,18,Banks,0.366489,0.344278,47.7324,3.46655,2.1684e-19,-0.00147875,-0.00152413,4.69148e-06,-5.00718e-05,-4.53803e-05,-0.00152626,11,307,0,2,0
2007-05-18,305,44,13,18,Banks,0.228733,0.217832,47.6768,3.46049,5.42101e-20,0.00580323,0.00588112,-1.40577e-05,9.19488e-05,7.78911e-05,0.00587306,11,307,0,2,0
2007-05-21,305,44,13,18,Banks,0.269145,0.215074,47.5938,3.43899,-5.42101e-20,0.0004736,0.00048772,-9.42445e-06,2.35445e-05,1.41201e-05,0.000505743,11,307,0,2,0
2007-05-22,305,44,13,18,Banks,0.381558,0.380613,47.5709,3.43513,-1.0842e-19,-0.000544073,-0.000372502,-3.968e-06,0.000175539,0.000171571,-0.000382398,11,307,0,2,0
2007-05-23,305,44,13,18,Banks,0.300085,0.250641,47.7402,3.433,-1.0842e-19,-0.0018519,-0.00187715,-9.97848e-07,-2.42558e-05,-2.52536e-05,-0.00188396,11,307,0,2,0
2007-05-24,305,44,13,18,Banks,0.445066,0.384512,47.8826,3.44403,-1.0842e-19,-0.00905118,-0.00892357,1.77395e-05,0.000109873,0.000127612,-0.00892352,11,307,0,2,0
2007-05-25,305,44,13,18,Banks,0.33293,0.29282,48.0752,3.45688,1.0842e-19,0.00495789,0.00512472,2.62789e-06,0.000164196,0.000166824,0.00512551,11,307,0,2,0
2007-05-29,305,44,13,18,Banks,0.424603,0.355656,48.0459,3.48907,-2.71051e-20,0.00117006,0.00109526,-2.21461e-06,-7.25916e-05,-7.48063e-05,0.00114554,11,308,0,3,0
2007-05-30,305,44,13,18,Banks,0.428214,0.354954,47.9323,3.49603,1.0842e-19,0.00750637,0.00763028,-1.22635e-05,0.000136179,0.000123915,0.007643,11,308,0,3,0
2007-05-31,305,44,13,18,Banks,0.276305,0.22909,47.8176,3.4513,-1.0842e-19,-0.000848513,-0.00111126,-1.58381e-05,-0.00024691,-0.000262748,-0.00106212,11,308,0,3,0
2007-06-01,305,44,13,18,Banks,0.351089,0.241038,47.589,3.4462,-5.42101e-20,0.00303374,0.00286955,7.75885e-06,-0.000171946,-0.000164187,0.00289073,11,308,0,3,0
2007-06-04,305,44,13,18,Banks,0.294047,0.267396,47.6382,3.46885,3.25261e-19,0.00110615,0.000856618,-9.13648e-06,-0.000240396,-0.000249533,0.000895309,11,308,0,3,0
2007-06-05,305,44,13,18,Banks,0.337023,0.270276,47.7344,3.49001,-1.35525e-20,-0.00575077,-0.00569383,-1.14807e-05,6.84178e-05,5.69371e-05,-0.00571069,11,308,0,3,0
2007-06-06,305,44,13,18,Banks,0.26248,0.268455,47.6987,3.50728,-2.71051e-20,-0.00874043,-0.00883235,1.23555e-05,-0.000104273,-9.19171e-05,-0.00883975,11,308,0,3,0
2007-06-07,305,44,13,18,Banks,0.472679,0.461123,47.8321,3.51587,-1.0842e-19,-0.0174948,-0.0175867,8.13147e-06,-9.99929e-05,-9.18614e-05,-0.0176171,11,308,0,3,0
2007-06-08,305,44,13,18,Banks,0.33983,0.302954,48.0213,3.50351,1.0842e-19,0.0116907,0.0117987,-1.36324e-05,0.0001217,0.000108067,0.0118105,11,308,0,3,0
2007-06-11,305,44,13,18,Banks,0.295542,0.268492,48.052,3.51889,-1.0842e-19,0.000685494,0.00050371,6.02223e-06,-0.000187806,-0.000181784,0.000496837,11,308,0,3,0
2007-06-12,305,44,13,18,Banks,0.338942,0.285885,48.17,3.52287,-5.42101e-20,-0.0112103,-0.0111177,4.83e-06,8.78055e-05,9.26355e-05,-0.0110735,11,308,0,3,0
2007-06-13,305,44,13,18,Banks,0.409782,0.386563,48.0715,3.56042,3.52366e-19,0.0157967,0.0157509,-6.55502e-06,-3.91922e-05,-4.57472e-05,0.0158043,11,308,0,3,0
2007-06-14,305,44,13,18,Banks,0.436908,0.366207,48.0537,3.54613,2.1684e-19,0.00388971,0.00383241,-7.06098e-06,-5.02425e-05,-5.73034e-05,0.00382845,11,308,0,3,0
2007-06-15,305,44,13,18,Banks,0.331574,0.314594,47.8595,3.5356,2.71051e-19,0.00623571,0.00613771,-7.59563e-06,-9.04096e-05,-9.80052e-05,0.00621814,11,308,0,3,0
2007-06-18,305,44,13,18,Banks,0.305052,0.248775,47.766,3.51623,0,-0.00199508,-0.00190547,-6.57415e-07,9.02669e-05,8.96095e-05,-0.00182884,11,308,0,3,0
2007-06-19,305,44,13,18,Banks,0.240002,0.144413,47.7522,3.49584,-1.0842e-19,0.0024282,0.00243723,1.26455e-06,7.76299e-06,9.02754e-06,0.00245522,11,308,0,3,0
2007-06-20,305,44,13,18,Banks,0.436038,0.370256,47.7897,3.52797,0,-0.0134831,-0.0134889,1.09729e-05,-1.67086e-05,-5.73573e-06,-0.0134996,11,308,0,3,0
2007-06-21,305,44,13,18,Banks,0.445479,0.419112,47.7913,3.54872,2.1684e-19,0.00515083,0.00523684,-2.67977e-05,0.000112809,8.60116e-05,0.00527061,11,308,0,3,0
2007-06-22,305,44,13,18,Banks,0.242585,0.19798,47.793,3.55179,-1.0842e-19,-0.0142805,-0.0144833,-1.95147e-05,-0.000183347,-0.000202862,-0.0144499,11,308,0,3,0
2007-06-25,305,44,13,18,Banks,0.338168,0.321176,47.4413,3.52941,-1.6263e-19,-0.00330306,-0.00381519,2.77905e-05,-0.000539925,-0.000512135,-0.00388196,11,308,0,3,0
2007-06-26,305,44,13,18,Banks,0.39168,0.37514,47.4153,3.49991,-1.6263e-19,-0.00368188,-0.00415029,2.69184e-05,-0.000495328,-0.00046841,-0.00414788,11,308,0,3,0
2007-06-27,305,44,13,18,Banks,0.351098,0.286955,47.6288,3.51296,-2.71051e-20,0.00953974,0.00987475,-1.1445e-05,0.000346447,0.000335002,0.00986455,11,308,0,3,0
2007-06-28,305,44,13,18,Banks,0.158902,0.152699,47.6867,3.53132,5.42101e-20,-0.000323552,-0.00032829,-1.22174e-06,-3.51647e-06,-4.73821e-06,-0.000292862,11,308,0,3,0
2007-06-29,305,44,13,18,Banks,0.324686,0.250106,47.7637,3.54111,-5.42101e-20,-0.00275226,-0.00272576,1.17804e-05,1.47251e-05,2.65054e-05,-0.00272691,11,308,0,3,0
2007-07-02,305,44,13,18,Banks,0.225142,0.0921128,47.7138,3.54483,-1.6263e-19,0.00762507,0.00770244,-3.06667e-05,0.000108035,7.73683e-05,0.00772262,11,308,0,3,0
2007-07-03,305,44,13,18,Banks,0.35469,0.259867,47.7839,3.31885,0,0.00443084,0.00426024,7.88923e-06,-0.000178497,-0.000170608,0.00422539,11,308,0,3,0
2007-07-05,305,44,13,18,Banks,0.326045,0.311152,47.8712,3.35862,-5.42101e-20,-0.00121324,-0.000983958,1.99395e-07,0.000229085,0.000229285,-0.000997951,11,308,0,3,0
2007-07-06,305,44,13,18,Banks,0.382487,0.358327,47.6408,3.3438,-1.35525e-19,0.00329832,0.00350025,-1.66623e-05,0.000218586,0.000201924,0.00350179,11,308,0,3,0
2007-07-09,305,44,13,18,Banks,0.298898,0.26699,47.5625,3.36356,-3.25261e-19,0.000504062,0.000525339,-7.36281e-06,2.86402e-05,2.12774e-05,0.00051018,11,308,0,3,0
2007-07-10,305,44,13,18,Banks,0.375114,0.315159,47.7631,3.34357,1.0842e-19,-0.0148468,-0.0144032,2.39408e-09,0.00044356,0.000443562,-0.0144383,11,308,0,3,0
2007-07-11,305,44,13,18,Banks,0.252986,0.266754,47.7313,3.3559,0,0.00613194,0.006212,8.42839e-06,7.16279e-05,8.00563e-05,0.00619619,11,308,0,3,0
2007-07-12,305,44,13,18,Banks,0.355447,0.357063,47.573,3.35343,2.1684e-19,0.0205055,0.0202207,5.78602e-06,-0.000290568,-0.000284782,0.0203001,11,308,0,3,0
2007-07-13,305,44,13,18,Banks,0.334832,0.286166,47.321,3.37157,1.6263e-19,0.00288011,0.00258928,-9.47114e-06,-0.000281352,-0.000290824,0.00261975,11,308,0,3,0
2007-07-16,305,44,13,18,Banks,0.41141,0.363845,47.3973,3.38631,2.1684e-19,-0.0019083,-0.00194444,2.27834e-05,-5.89159e-05,-3.61325e-05,-0.00195179,11,308,0,3,0
2007-07-17,305,44,13,18,Banks,0.305838,0.240885,47.6232,3.3805,0,0.000350504,0.000407172,-3.02303e-07,5.69699e-05,5.66676e-05,0.000420107,11,308,0,3,0
2007-07-18,305,44,13,18,Banks,0.42804,0.322332,47.6916,3.40882,-2.1684e-19,-0.00329554,-0.00331495,-1.89527e-05,-4.53451e-07,-1.94061e-05,-0.00332878,11,308,0,3,0
2007-07-19,305,44,13,18,Banks,0.319088,0.264028,47.4293,3.40202,-1.6263e-19,0.0033189,0.0031911,-1.61125e-05,-0.000111689,-0.000127801,0.00318517,11,308,0,3,0
2007-07-20,305,44,13,18,Banks,0.165198,0.14956,47.3882,3.4079,1.0842e-19,-0.0117667,-0.0113674,2.7905e-06,0.000396463,0.000399254,-0.0114248,11,308,0,3,0
2007-07-23,305,44,13,18,Banks,0.35976,0.366242,47.4639,3.40575,1.0842e-19,0.00479414,0.00488802,9.03087e-06,8.48509e-05,9.38817e-05,0.00490575,11,308,0,3,0
2007-07-24,305,44,13,18,Banks,0.466107,0.387774,47.4322,3.40366,0,-0.0198831,-0.0200279,2.78349e-05,-0.00017258,-0.000144745,-0.0201102,11,308,0,3,0
2007-07-25,305,44,13,18,Banks,0.201036,0.161965,47.5758,3.38452,-8.13152e-20,0.00566641,0.00522155,-2.91149e-05,-0.000415745,-0.000444859,0.00521546,11,308,0,3,0
2007-07-26,305,44,13,18,Banks,0.255457,0.187203,47.8767,3.34427,-2.1684e-19,-0.0235899,-0.023652,3.47712e-05,-9.6856e-05,-6.20849e-05,-0.0236387,11,308,0,3,0
2007-07-27,305,44,13,18,Banks,0.242908,0.173115,47.6811,3.33343,-6.50521e-19,-0.0157382,-0.0160296,1.93331e-05,-0.000310674,-0.000291341,-0.0160849,11,308,0,3,0
2007-07-30,305,44,13,18,Banks,0.317857,0.289437,47.4159,3.33362,-3.25261e-19,0.00999918,0.00962332,-1.65065e-05,-0.000359357,-0.000375863,0.00977912,11,308,0,3,0
2007-07-31,305,44,13,18,Banks,0.295769,0.223439,47.3649,3.32336,-2.1684e-19,-0.0129082,-0.0127139,2.96523e-05,0.000164681,0.000194333,-0.0127217,11,308,0,3,0
2007-08-01,305,44,13,18,Banks,0.330691,0.35429,47.3751,3.29089,-1.0842e-19,0.00898543,0.00852222,2.68884e-05,-0.000490104,-0.000463216,0.0083606,11,308,0,3,0
2007-08-02,305,44,13,18,Banks,0.229726,0.193035,47.2703,3.22331,-2.1684e-19,0.0062119,0.00650537,-9.63334e-06,0.000303102,0.000293469,0.00641094,11,308,0,3,0
2007-08-03,305,44,13,18,Banks,0.48152,0.467889,47.3407,3.23502,4.33681e-19,-0.0271962,-0.0268941,8.21976e-05,0.000219903,0.000302101,-0.0270144,11,308,0,3,0
2007-08-06,305,44,13,18,Banks,0.470783,0.396566,47.4257,3.19864,-4.33681e-19,0.0276354,0.027662,5.12964e-06,2.14621e-05,2.65917e-05,0.0277051,11,308,0,3,0
2007-08-07,305,44,13,18,Banks,0.296881,0.277274,47.6614,3.16548,5.42101e-20,0.00602791,0.0060331,-3.44165e-05,3.95995e-05,5.18299e-06,0.00611248,11,308,0,3,0
2007-08-08,305,44,13,18,Banks,0.280056,0.277654,47.8657,3.1359,-5.42101e-20,0.0152125,0.0151324,-2.1649e-05,-5.84395e-05,-8.00885e-05,0.0151582,11,308,0,3,0
2007-08-09,305,44,13,18,Banks,0.257333,0.228798,48.1689,3.10104,0,-0.0310992,-0.0314131,2.56739e-06,-0.00031644,-0.000313873,-0.0314808,11,308,0,3,0
2007-08-10,305,44,13,18,Banks,0.310102,0.294957,48.3152,3.07301,6.50521e-19,-0.000215409,-0.00021398,8.69588e-06,-7.26707e-06,1.42881e-06,-0.00020119,11,308,0,3,0
2007-08-13,305,44,13,18,Banks,0.279906,0.262789,47.4369,2.99607,-4.06576e-19,-0.00269576,-0.00248261,2.05435e-06,0.000211088,0.000213143,-0.00250197,11,308,0,3,0
2007-08-14,305,44,13,18,Banks,0.424962,0.389862,47.5729,2.97145,-1.0842e-19,-0.0183899,-0.0181122,5.34578e-05,0.000224242,0.0002777,-0.0181366,11,308,0,3,0
2007-08-15,305,44,13,18,Banks,0.367467,0.286146,47.6347,2.95783,-2.1684e-19,-0.0123797,-0.012246,1.34044e-05,0.000120311,0.000133716,-0.0122832,11,308,0,3,0
2007-08-16,305,44,13,18,Banks,0.596377,0.508627,47.9392,2.97648,8.67362e-19,0.00712654,0.00698017,-9.99629e-06,-0.000136368,-0.000146364,0.00698351,11,308,0,3,0
2007-08-17,305,44,13,18,Banks,0.300241,0.249818,48.2398,2.95817,-2.1684e-19,0.0257904,0.0254854,-3.7684e-05,-0.000267385,-0.000305069,0.0255585,11,308,0,3,0
2007-08-20,305,44,13,18,Banks,0.383336,0.343863,48.079,2.96044,5.42101e-19,-0.00134597,-0.00140171,2.30462e-05,-7.87896e-05,-5.57434e-05,-0.0013857,11,308,0,3,0
2007-08-21,305,44,13,18,Banks,0.420509,0.363983,47.9816,2.95319,4.33681e-19,-0.000656104,-0.000765551,-1.12391e-05,-9.82083e-05,-0.000109447,-0.000725459,11,308,0,3,0
2007-08-22,305,44,13,18,Banks,0.361276,0.35083,47.8298,2.94817,2.1684e-19,0.0108521,0.011048,-3.24588e-05,0.00022833,0.000195871,0.0111374,11,308,0,3,0
2007-08-23,305,44,13,18,Banks,0.327632,0.274239,47.5431,2.92621,-2.1684e-19,-0.00110808,-0.00108746,3.10384e-05,-1.04123e-05,2.06261e-05,-0.00112511,11,308,0,3,0
2007-08-24,305,44,13,18,Banks,0.385539,0.33105,47.2426,2.92409,-1.0842e-19,0.0107626,0.0106527,-1.8411e-05,-9.15139e-05,-0.000109925,0.0106301,11,308,0,3,0
2007-08-27,305,44,13,18,Banks,0.508434,0.487044,47.4315,2.9229,0,-0.00905184,-0.00906913,2.17449e-05,-3.90294e-05,-1.72845e-05,-0.00907632,11,308,0,3,0
2007-08-28,305,44,13,18,Banks,0.538397,0.463614,47.3635,2.91501,1.0842e-19,-0.0245468,-0.0246278,5.36668e-05,-0.000134696,-8.10293e-05,-0.0246871,11,308,0,3,0
2007-08-29,305,44,13,18,Banks,0.441518,0.369259,47.3507,2.89609,5.42101e-20,0.0215066,0.0215315,-2.81916e-05,5.30358e-05,2.48442e-05,0.0215448,11,308,0,3,0
2007-08-30,305,44,13,18,Banks,0.332788,0.286441,47.3252,2.863,0,-0.00482897,-0.00494618,5.22972e-06,-0.000122437,-0.000117208,-0.00496454,11,308,0,3,0
2007-08-31,305,44,13,18,Banks,0.431763,0.412126,47.2345,2.87431,1.0842e-19,0.0111986,0.0112262,-3.01184e-05,5.77456e-05,2.76272e-05,0.0112698,11,308,0,3,0
2007-09-04,305,44,13,18,Banks,0.425704,0.346202,47.1148,2.87552,-2.1684e-19,0.00974574,0.00973254,-1.39458e-05,7.4737e-07,-1.31984e-05,0.00974024,11,308,0,3,0
2007-09-05,305,44,13,18,Banks,0.357715,0.37161,47.1155,2.87579,0,-0.0123268,-0.0125341,1.83151e-05,-0.000225701,-0.000207386,-0.0125514,11,308,0,3,0
2007-09-06,305,44,13,18,Banks,0.317805,0.277098,46.8397,2.89004,-1.35525e-19,0.00342715,0.00321897,-7.78053e-06,-0.000200399,-0.000208179,0.00321169,11,308,0,3,0
2007-09-07,305,44,13,18,Banks,0.41984,0.448802,46.7719,2.8734,2.71051e-20,-0.0162943,-0.016062,3.84e-05,0.000193951,0.000232351,-0.0161141,11,308,0,3,0
2007-09-10,305,44,13,18,Banks,0.281063,0.272799,46.7492,2.85387,2.1684e-19,-0.000479055,-0.000700092,1.08275e-05,-0.000231865,-0.000221037,-0.000733517,11,308,0,3,0
2007-09-11,305,44,13,18,Banks,0.208346,0.210752,46.5868,2.82029,5.42101e-20,0.0138496,0.0137655,-5.51679e-06,-7.86009e-05,-8.41177e-05,0.0137852,11,308,0,3,0
2007-09-12,305,44,13,18,Banks,0.337596,0.332846,46.7198,2.82263,3.25261e-19,0.000139609,3.20349e-05,2.74166e-06,-0.000110316,-0.000107574,7.02632e-05,11,308,0,3,0
2007-09-13,305,44,13,18,Banks,0.413611,0.377018,46.6959,2.83144,0,0.00935365,0.00927288,-3.26826e-05,-4.80865e-05,-8.07691e-05,0.00928607,11,308,0,3,0
2007-09-14,306,44,13,18,Banks,0.257217,0.238836,46.7972,2.84213,5.42101e-20,1.30857e-05,0.000231397,-3.33814e-06,0.00022165,0.000218312,0.000202173,11,308,0,2,0
2007-09-17,306,44,13,18,Banks,0.337167,0.379715,46.8885,2.85634,1.35525e-19,-0.00551234,-0.00574058,6.31209e-06,-0.000234554,-0.000228242,-0.00573556,11,308,0,2,0
2007-09-18,306,44,13,18,Banks,0.585508,0.535618,46.9634,2.86925,-4.33681e-19,0.031309,0.0314625,-6.70977e-05,0.000220569,0.000153472,0.0315161,11,308,0,2,0
2007-09-19,306,44,13,18,Banks,0.272147,0.269513,46.8329,2.86667,2.1684e-19,0.00490808,0.00468571,-5.58006e-06,-0.000216783,-0.000222363,0.00471826,11,308,0,2,0
2007-09-20,306,44,13,18,Banks,0.487258,0.444994,46.7266,2.84451,-1.0842e-19,-0.00778983,-0.00793733,2.62417e-05,-0.000173733,-0.000147491,-0.00792668,11,308,0,2,0
2007-09-21,306,44,13,18,Banks,0.24246,0.235578,46.5113,2.83545,0,0.00453091,0.00481199,-1.26538e-05,0.000293735,0.000281081,0.00476911,11,308,0,2,0
2007-09-24,306,44,13,18,Banks,0.339619,0.34773,46.559,2.82409,1.6263e-19,-0.00615226,-0.00621647,1.38082e-05,-7.80215e-05,-6.42133e-05,-0.00623339,11,308,0,2,0
2007-09-25,306,44,13,18,Banks,0.373575,0.338344,46.4556,2.80997,-1.0842e-19,-0.00107614,-0.000867,1.06588e-07,0.000209033,0.00020914,-0.000875457,11,308,0,2,0
2007-09-26,306,44,13,18,Banks,0.28936,0.291874,46.3892,2.80737,-1.0842e-19,0.0050018,0.00526988,-2.68319e-06,0.000270756,0.000268072,0.00527108,11,308,0,2,0
2007-09-27,306,44,13,18,Banks,0.240805,0.208684,46.1584,2.82523,-5.42101e-20,0.00452734,0.00446013,-2.14056e-05,-4.58018e-05,-6.72074e-05,0.00452323,11,309,0,3,0
2007-09-28,306,44,13,18,Banks,0.260248,0.229095,46.1678,2.82839,5.42101e-20,-0.00417084,-0.00403951,1.50112e-05,0.000116318,0.000131329,-0.00402581,11,309,0,3,0
2007-10-01,306,44,13,18,Banks,0.335044,0.361961,46.4037,2.81663,1.6263e-19,0.0145407,0.0145012,-2.93347e-05,-1.01188e-05,-3.94535e-05,0.0145315,11,309,0,3,0
2007-10-02,306,44,13,18,Banks,0.333658,0.325502,46.325,2.82595,-1.0842e-19,0.00018167,4.05853e-05,-7.87026e-06,-0.000133214,-0.000141084,4.51288e-05,11,309,0,3,0
2007-10-03,306,44,13,18,Banks,0.362258,0.366338,46.3705,2.84998,-8.13152e-20,-0.00405026,-0.00414888,1.1586e-05,-0.000110206,-9.86204e-05,-0.00411343,11,310,0,4,0
2007-10-04,306,44,13,18,Banks,0.348859,0.36564,46.3405,2.87737,1.0842e-19,0.00188525,0.0016384,-2.93768e-06,-0.000243911,-0.000246849,0.00169623,11,310,0,4,0
2007-10-05,306,44,13,18,Banks,0.428583,0.38882,46.328,2.88515,-2.1684e-19,0.00943382,0.0096893,-5.49562e-05,0.000310437,0.000255481,0.00969489,11,310,0,4,0
2007-10-08,306,44,13,18,Banks,0.347132,0.289428,46.277,2.88772,0,-0.00366398,-0.00368163,2.25206e-06,-1.98977e-05,-1.76456e-05,-0.00364992,11,310,0,4,0
2007-10-09,306,44,13,18,Banks,0.33057,0.256342,46.2557,2.90307,0,0.0077401,0.00750674,-1.49117e-05,-0.000218451,-0.000233362,0.00753079,11,310,0,4,0
2007-10-10,306,44,13,18,Banks,0.341299,0.329556,46.2921,2.91178,0,-0.00298891,-0.00289965,-2.27181e-05,0.000111975,8.92569e-05,-0.00292168,11,310,0,4,0
2007-10-11,306,44,13,18,Banks,0.389719,0.357771,46.7652,2.94834,5.42101e-20,-0.003564,-0.00282556,4.69225e-05,0.00069152,0.000738442,-0.00293864,11,310,0,4,0
2007-10-12,306,44,13,18,Banks,0.401361,0.3774,46.9443,2.95727,0,0.00303062,0.0029927,-1.83123e-05,-1.96093e-05,-3.79216e-05,0.00306655,11,310,0,4,0
2007-10-15,306,44,13,18,Banks,0.301643,0.268256,46.9496,2.95281,2.1684e-19,-0.0107619,-0.0107874,-1.10828e-06,-2.44627e-05,-2.5571e-05,-0.0108677,11,310,0,4,0
2007-10-16,306,44,13,18,Banks,0.348766,0.295262,46.6097,2.90567,-2.1684e-19,-0.00829074,-0.00852797,-1.40657e-06,-0.000235816,-0.000237222,-0.00852956,11,310,0,4,0
2007-10-17,306,44,13,18,Banks,0.317284,0.242396,46.3173,2.89315,0,0.00161561,0.00169969,-9.56074e-06,9.36372e-05,8.40764e-05,0.00166565,11,310,0,4,0
